"","d1","d2","d3","d4","d5"
"78","Long & McQuade Music ","139 Charing Cross St, Brantford, ON N3R 2J3Get directions »","519-753-6804Primary","www.facebook.com",NA
"79","Gstringcustom ","3512 Errington Ave, Chelmsford, ON P0M 1L0Get directions »","705-670-2813Primary","gstringcustom.ca",NA
"80","Sunrise Record ","1349 Lasalle Blvd, Sudbury, ON P3A 1Z2Get directions »","705-525-0262Primary",NA,NA
"81","Long & McQuade Musical Instruments ","255 King St, Sudbury, ON P3C 2W2Get directions »","705-673-7135Primary, 1-888-691-2366Tollfree, 705-673-7359Fax",NA,"5/5"
"82","Records on Wheels ","107 Durham St, Sudbury, ON P3E 3M9Get directions »","705-675-6617Primary",NA,NA
"83","Cosmic Dave's Guitar Emporium ","420 Elgin St, Sudbury, ON P3B 1B2Get directions »","705-222-6862Primary","cosmicdavesguitaremporium.com",NA
"84","Guitar Clinic ","15 Tuddenham Ave, Sudbury, ON P3C 3E9Get directions »","705-671-1876Primary",NA,NA
"85","SoundChek Music ","12 Whitewood Ave W, New Liskeard, ON P0J 1P0Get directions »","705-647-3136Primary",NA,NA
"86","Octave Music ","Cedar Pointe Plaza, Sudbury, ON P3E 3Z9Get directions »","705-522-9333Primary","www.octavemusicrocks.com",NA
"87","Dan Chassé - Live Event Providers ","13 William Ave, Lively, ON P3Y 1E7Get directions »","705-677-4903Primary","danchasseinc.ca",NA
"88","sunrise records ","1500 Riverside Dr, Timmins, ON P4R 1A1Get directions »","705-531-5384Primary",NA,NA
"89","sunrise records ","1500 Riverside Dr, Timmins, ON P4R 1A1Get directions »","705-531-5346Primary",NA,NA
"90","DBSL Pro Sound & Lighting ","141C Golf Club Rd, North Bay, ON P1B 8X7Get directions »","705-474-9821Primary","www.dbslprosound.com",NA
"91","Cheap Thrills ","2025 Algonquin Ave, North Bay, ON P1B 4Z3Get directions »","705-494-9980Primary",NA,NA
"92","Repercussion Drumshop ","354 Algonquin Ave, North Bay, ON P1B 4W3Get directions »","705-840-8402Primary",NA,NA
"93","Music City ","221 Algonquin Ave, North Bay, ON P1B 4V8Get directions »","705-472-9907Primary, 1-877-895-9411Tollfree","www.music-city.ca","5/5"
"94","CA Guitar Shop ","174 Oak St W, North Bay, ON P1B 2S7Get directions »","705-492-6393Primary",NA,NA
"95","Waxman Records ","106 Main St W, North Bay, ON P1B 2T5Get directions »","705-474-9966Primary",NA,NA
"96","Sunrise Records (1993) Inc ","1500 Fisher St, North Bay, ON P1B 2H3Get directions »","705-495-4017Primary",NA,NA
"97","Callander Bay Records ","5B Main St S, Callander, ON P0H 1H0Get directions »","705-713-0222Primary",NA,NA
"98","Sights & Sounds ","160 Ontario Ave, Elliot Lake, ON P5A 1Y3Get directions »","705-848-8253Primary",NA,NA
"99","North Channel Music ","122 Ontario Ave, Elliot Lake, ON P5A 1Y2Get directions »","705-848-0986Primary",NA,NA
"100","Harley's Music Shop ","8 Margaret St, Parry Sound, ON P2A 2B1Get directions »","705-746-9460Primary",NA,NA
"101","Long & McQuade ","505 Albert St E, Sault Ste. Marie, ON P6A 2K3Get directions »","705-946-1981Primary","thomaswallsmusic.com",NA
"102","Rockin Vinyl Records ","415 Northland Rd, Sault Ste Marie, ON P6C 3N5Get directions »","705-256-6383Primary",NA,NA
"103","Rockin Vinyl Records & Collectibles ","352 Wellington St W, Sault Ste Marie, ON P6A 1J1Get directions »","705-255-1404Primary",NA,"4.5/5"
"104","Johnny Drums & More ","100 Main St, Penetanguishene, ON L9M 1T5Get directions »","705-549-9300Primary","www.johnmarrocco.ca",NA
"105","Johnstone's Music Land ","280 King St, Midland, ON L4R 3M6Get directions »","705-526-7821Primary","www.shopmidland.com","5/5"
"106","Randy's Records Cd's & Tapes ","270 8th St E, Owen Sound, ON N4K 1L1Get directions »","519-371-9332Primary",NA,NA
"107","Long & McQuade Musical Instruments ","704 6th Street E, Owen Sound, ON N4K 1G7Get directions »","519-371-9662Primary, 519-371-4092Fax",NA,"5/5"
"108","Cloutier Musical Instruments ","123 Hurontario St, Collingwood, ON L9Y 2L9Get directions »","705-446-6837Primary",NA,NA
"109","Blue Mountain Music ","127 Hurontario St, Collingwood, ON L9Y 2L9Get directions »","705-445-5500Primary","www.bluemountainmusic.ca",NA
"110","Joe's Music ","9849 Beachwood Rd, Collingwood, ON L9Y 3Z1Get directions »","705-445-8238Primary","www.joesstore.ca",NA
"111","Alleycats Music And Art ","95 Mississaga St E, Orillia, ON L3V 1V6Get directions »","705-329-1339Primary","alleycatsmusic.com",NA
"112","True North Music ","18 Mississaga St E, Orillia, ON L3V 1V5Get directions »","705-329-0000Primary","www.truenorthmusic.com",NA
"113","Blackboard Sound ","652 Goderich St, Port Elgin, ON N0H 2C0Get directions »","226-453-2148Primary","blackboardsound.com","4.2/5"
"114","Sunrise Records ","320 Bayfield St, Barrie, ON L4M 3C1Get directions »","705-730-5680Primary","bayfieldmall.ca",NA
"115","BJ's Records ","13 Clapperton St, Barrie, ON L4M 3E4Get directions »","705-737-3031Primary","www.bjrecords.com","5/5"
"116","The Disc Depot ","27 Dunlop St W, Barrie, ON L4N 1A1Get directions »","705-726-7317Primary","www.artifact.ca",NA
"117","Reid Larry ","284 Dunlop St W, Barrie, ON L4N 1B9Get directions »","705-443-2351Primary",NA,NA
"118","Keenans Music Store ","4 Cedar Pointe Dr, Barrie, ON L4N 5R7Get directions »","705-737-3572Primary",NA,NA
"119","Larry Rogers Piano Tuner & Technician ","28 Bury's Green Road, Fenelon Falls, ON K0M 1N0Get directions »","705-887-6210Primary","www.pianodoc.ca",NA
"120","Sphere Works-Music Plus ","148 Garafraxa St S, ON N0G 1R0Get directions »","519-369-1547Primary",NA,NA
"121","Marlene Voisin, Broker of Record ","120 Jackson St S, Walkerton, ON N0G 2V0Get directions »","519-881-8801Primary, 519-881-1894Fax, 519-881-2551Alternate 1",NA,NA
"122","Cancussion ","749 Baird St, Kincardine, ON N2Z 1M3Get directions »","519-396-8595Primary",NA,NA
"123","Connors Music ","201 The Queensway S, Keswick, ON L4P 2A3Get directions »","905-476-3712Primary",NA,NA
"124","Van Halteren's Music Centre ","8 Wellington St, Lindsay, ON K9V 3N1Get directions »","705-324-2111Primary","www.vhmc.ca","3/5"
"125","Iceman Video Games ","111 Kent St W, Lindsay, ON K9V 2Y5Get directions »","705-328-3666Primary, 1-877-331-3666Tollfree",NA,"3.6/5"
"126","A Buy & Sell Shop ","31 Kent St W, Lindsay, ON K9V 2X9Get directions »","705-340-5152Primary","abuyandsellshop.ca",NA
"127","Flindall Guitars ","149 Shanagarry Dr Rr 2, Ennismore, ON K0L 1T0Get directions »","705-931-1432Primary",NA,NA
"128","The Piano Studio ","17665 Leslie St, Newmarket, ON L3Y 3E3Get directions »","905-895-1844Primary","www.thepianostudio.com",NA
"129","Wilson Music Services ","750 Lowell Ave, Newmarket, ON L3Y 1T5Get directions »","905-853-5082Primary","wilsonmusic.ca",NA
"130","Sunrise Records ","17600 Yonge, Newmarket, ON L3Y 4Z1Get directions »","905-953-9881Primary",NA,NA
"131","Broadway Convenience ","85 Broadway Ave, Orangeville, ON L9W 1K1Get directions »","519-940-0294Primary","www.facebook.com",NA
"132","Cranetrax ","925 Fairbairn St, Peterborough, ON K9K 1B8Get directions »","705-740-0881Primary",NA,NA
"133","McNelly Guitars ","716 Tully Cres, Peterborough, ON K9K 0A8Get directions »","705-991-1523Primary",NA,NA
"134","Bluestreak Records ","444 George St N, Peterborough, ON K9H 3R7Get directions »","705-742-6078Primary",NA,NA
"135","Accademia Musica ","2411 Mountland Dr, Peterborough, ON K9K 1V8Get directions »","705-743-2457Primary",NA,NA
"136","Alexander James Guitars ","3137 Westridge Blvd, Peterborough, ON K9K 1Z5Get directions »","705-741-1046Primary",NA,NA
"137","The Guitar Boutique ","252 Ski Hill Rd, Bethany, ON L0A 1A0Get directions »","705-277-9497Primary",NA,NA
"138","Long & McQuade Musical Instruments ","129 Aylmer St N, Peterborough, ON K9J 3K7Get directions »","705-742-5332Primary, 705-742-0335Fax","www.long-mcquade.com","3.9/5"
"139","Fox Guitars ","11-280 Perry St, Peterborough, ON K9J 2J4Get directions »","905-373-9801Primary",NA,NA
"140","Arcana Editions ","227 Douro First Line Rr 12, Douro-Dummer, ON K0L 2B0Get directions »","705-652-0446Primary",NA,NA
"141","Music 21 ","301 Queen S, Bolton, ON L7E 2B2Get directions »","905-857-2121Primary","www.music21.ca",NA
"142","Arcadia Academy Of Music Bolton ","12 Parr, ON L7E 4E3Get directions »","905-857-1221Primary","www.arcadiamusicacademy.com",NA
"143","Suruthilaya ","9889 Hwy 48, Markham, ON L6E 0B7Get directions »","905-294-6499Primary",NA,NA
"144","Selinger Music ","208 Main St W, Listowel, ON N4W 1A1Get directions »","519-291-7665Primary","www.listowellegends.com",NA
"145","Remenyi House of Music ","6-1455 16th Ave, Richmond Hill, ON L4B 4W5Get directions »","905-881-3400Primary",NA,NA
"146","House of Raga ","24 The Bridle Trail, Unionville, ON L3R 4E9Get directions »","416-452-6491Primary, 1-877-817-7141Tollfree, 905-752-1192Alternate 1","www.houseofraga.net",NA
"147","Merriam Music ","75-3175 Rutherford Rd, Vaughan, ON L4K 5Y6Get directions »","905-660-9503Primary","www.merriammusic.com","5/5"
"148","Sunrise Records ","1 Bass Pro Mills Dr, Vaughan, ON L4K 5W4Get directions »","905-669-7029Primary",NA,NA
"149","Carlaw Conservatory Of Music ","113 Main St, Markham, ON L3P 1X9Get directions »","905-294-5517Primary","carlawconservatoryofmusic.com",NA
"150","Bellissimo Custom Guitars ","12420 Bramalea Rd, Caledon East, ON L7C 2P2Get directions »","905-843-9334Primary","www.bellissimocustomguitars.com",NA
"151","Sanremo Records ","3650 Langstaff Rd, Woodbridge, ON L4L 9A8Get directions »","905-850-3111Primary",NA,NA
"152","Greek CS Discounts ","8111 Yonge St, Thornhill, ON L3T 4V9Get directions »","905-771-7206Primary",NA,NA
"153","Long & McQuade Musical Instruments ","9833 Markham Rd, Markham, ON L3P 3J3Get directions »","905-209-1177Primary, 905-209-1463Fax","long-mcquade.com",NA
"154","ACCEO Smart Vendor ","80 Citizen Crt, Markham, ON L6G 1A7Get directions »","905-477-4747Primary, 1-800-265-8601Tollfree, 1-800-561-0500Alternate 1","www.vendorware.com","3/5"
"155","Yamaha Commercial Audio Tech Support ","80 Citizen Crt, Markham, ON L6G 1A7Get directions »","905-944-2609Primary","yamahacommercialaudiosystems.com",NA
"156","Sarosh Musical Instruments ","2 Angelucci Dr, Brampton, ON L6P 1G6Get directions »","416-569-6178Primary",NA,NA
"157","TOS Ltd ","2770 14th Ave, Markham, ON L3R 0J1Get directions »","905-474-3575Primary","www.tosltd.com",NA
"158","Harknett Musical Services Ltd ","2650 John St, Markham, ON L3R 2W6Get directions »","905-477-1142Primary","www.harknettmusic.com",NA
"159","Steinway Piano Gallery of Toronto ","8-2651 John St, Markham, ON L3R 2W5Get directions »","905-940-5397Primary, 1-888-399-5397Tollfree","steinwaypianogallery.ca",NA
"160","Drumland Inc ","4585 Hwy 7, Woodbridge, ON L4L 1S6Get directions »","905-856-2135Primary","www.drumland.com",NA
"161","Power City ","8-151 Esna Park Dr, Markham, ON L3R 3B1Get directions »","905-604-4146Primary",NA,NA
"162","Hanway Music ","18-400 Esna Park Dr, Markham, ON L3R 3K2Get directions »","647-607-8901Primary","www.hwmusic.ca",NA
"163","Pineapple Records ","44 Chatterson St, Whitby, ON L1R 0B3Get directions »","905-442-4650Primary","twitter.com",NA
"164","Lifeline ","2100 Bovaird Dr E, Brampton, ON L6R 3J7Get directions »","905-494-6605Primary",NA,NA
"165","Island Music Shop ","13 Woodsmere Crt, Brampton, ON L6R 1V3Get directions »","416-786-2235Primary",NA,NA
"166","C.D.M.V. Inc ","6-1925 Williams Pky, Brampton, ON L6S 2M3Get directions »","647-461-1415Primary",NA,NA
"167","Excel Med Services Inc ","1-15 Barnes Crt, Brampton, ON L7A 1J1Get directions »","289-632-1095Primary",NA,NA
"168","Sharpsurg Instruments ","15 Upwood Pl, Brampton, ON L6R 1T3Get directions »","647-470-4234Primary",NA,NA
"169","Long & McQuade ","2777 Steeles Ave W, North York, ON M3J 3K5Get directions »","416-663-8683Primary",NA,NA
"170","Long & McQuade Musical Instruments ","2777 Steeles Ave W, North York, ON M3J 3K5Get directions »","416-663-8612Primary, 416-663-8683Fax",NA,NA
"171","Deja Vu Discs ","2181 Steeles Ave W, North York, ON M3J 3N2Get directions »","905-636-3472Primary",NA,NA
"172","Sunshine Records ","4069 Gordon Baker Rd, Scarborough, ON M1W 2P3Get directions »","416-494-8467Primary",NA,NA
"173","Long & Mcquade Ltd ","902 Simcoe St N, Oshawa, ON L1G 4W2Get directions »","905-438-8118Primary",NA,NA
"174","Long & McQuade Musical Instruments ","902 Simcoe St N, Oshawa, ON L1G 4W2Get directions »","905-434-1612Primary, 905-725-1501Fax",NA,"4/5"
"175","The Vinyl Company Inc ","700 Fenmar Dr, North York, ON M9L 1R7Get directions »","416-742-7905Primary","www.thevinylco.com",NA
"176","Academic Pianos ","161 Dolomite Dr, North York, ON M3J 2N1Get directions »","416-663-5424Primary",NA,NA
"177","Dave's Guitar Repair ","904 Lavis Crt, Oshawa, ON L1K 1W1Get directions »","519-377-5593Primary","www.davesguitarrepair.com",NA
"178","Alice's Piano Studio ","66 Pappain Cres, Brampton, ON L7A 3J6Get directions »","416-799-4363Primary",NA,NA
"179","Medelectronics Inc ","1703-300 Antibes Dr, North York, ON M2R 3N8Get directions »","416-736-6212Primary",NA,NA
"180","Royal Clark Enterprises Inc ","25 Marathon Cres, North York, ON M2R 2L6Get directions »","416-730-8153Primary",NA,NA
"181","Medihealth-Service And Distribution Systems Inc ","343 Drewry Ave, North York, ON M2M 1E6Get directions »","416-807-4676Primary",NA,NA
"182","Instrumental Imaging ","800 Rossland Rd E, Oshawa, ON L1K 1R3Get directions »","905-706-1950Primary",NA,NA
"183","A2Z Guitar Repairs ","23 Boake St, North York, ON M3J 0B8Get directions »","905-960-5915Primary","a2zguitarrepairs.wixsite.com",NA
"184","Samuelson Music ","59 Banstock Dr, North York, ON M2K 2H7Get directions »","416-733-4088Primary",NA,NA
"185","Music Of May Ltd ","63 Silver Star Blvd, Scarborough, ON M1V 5E5Get directions »","416-754-2228Primary",NA,NA
"186","Antonypillai Antonypillai ","37 Tawn Cres, Ajax, ON L1Z 1H9Get directions »","905-686-9910Primary",NA,NA
"187","Trenz'N Video ","22-1290 Finch Ave W, North York, ON M3J 3K3Get directions »","416-736-1940Primary",NA,NA
"188","Samanthas Video & Textile ","1-1270 Finch Ave W, North York, ON M3J 3J7Get directions »","416-736-7252Primary",NA,NA
"189","Long & McQuade Musical Instruments ","1887 Kingston Rd, Pickering, ON L1V 1C9Get directions »","905-686-4900Primary","long-mcquade.com",NA
"190","Al-Shafaque International Corporation ","50 Simmons Blvd Floor 1, Brampton, ON L6V 3V6Get directions »","647-868-0573Primary",NA,NA
"191","El-Mar Inc. ","48 Evanston Dr, North York, ON M3H 5P3Get directions »","416-633-4507Primary",NA,NA
"192","Sunny Vinyl Inc ","8550 Torbram Rd, Brampton, ON L6T 5C8Get directions »","905-791-0005Primary",NA,NA
"193","Mikrokosmos Inc ","314 Churchill Ave, North York, ON M2R 1E7Get directions »","416-224-1956Primary, 416-224-2964Fax","www.mikrokosmos.com",NA
"194","M4U Music Booth ","53 Parkhurst Sq, Brampton, ON L6T 5H5Get directions »","416-301-3576Primary",NA,NA
"195","Ganan Videos ","2551 Warden Ave, Scarborough, ON M1W 2H5Get directions »","416-495-7517Primary",NA,NA
"196","Kamal Asian Video ","1-4025 Brandon Gate Dr, (Suite B), Mississauga, ON L4T 3Z9Get directions »","905-678-2937Primary",NA,NA
"197","The Guitar Boutique ","601 Dundas St W, Whitby, ON L1N 2N3Get directions »","905-668-7210Primary",NA,NA
"198","Tundra Music ","4-1121 Dundas St E, Whitby, ON L1N 2K4Get directions »","905-493-5000Primary",NA,NA
"199","Wilson & Lee Music Store ","87 Simcoe St N, Oshawa, ON L1G 4S3Get directions »","905-725-4706Primary, 905-725-4802Fax","www.wilsonandlee.ca",NA
"200","Mediwin Medical Supplies Inc ","184 Betty Ann Dr, North York, ON M2N 1X6Get directions »","416-225-5851Primary",NA,NA
"201","Sunrise Records ","25 Peel Centre Dr, Brampton, ON L6T 3R5Get directions »","905-793-0488Primary",NA,NA
"202","G & G Audio And Video ","19 SimcOe St N, Oshawa, ON L1G 4R7Get directions »","416-402-4805Primary",NA,NA
"203","Lachini Media ","1502-8 Hillcrest Ave, North York, ON M2N 6Y6Get directions »","416-250-8588Primary",NA,NA
"204","Continental Records Co Ltd ","Thomas PO Box 2665 Stn B, Brampton, ON L6T 5M6Get directions »","905-813-9544Primary","www.gocontinental.com",NA
"205","Guitar Gas Company ","250 Rimrock Rd, North York, ON M3J 3A6Get directions »","1-877-727-4196Primary",NA,NA
"206","Hollywood Hits Video ","80 Thickson Rd S, Whitby, ON L1N 7T2Get directions »","905-666-1702Primary",NA,NA
"207","Punjab Video & Audio ","2654 Islington Ave, Etobicoke, ON M9V 2X5Get directions »","416-746-8623Primary",NA,NA
"208","Jack'T Customs ","313 Athol St E, Oshawa, ON L1H 1K7Get directions »","289-923-0655Primary",NA,NA
"209","Urban Vision Films ","15 Silver Egret Rd, Brampton, ON L7A 3P4Get directions »","647-389-6999Primary",NA,NA
"210","Hexyoo Scientific Inc ","3-27 Casebridge Crt, Scarborough, ON M1B 4Y4Get directions »","416-818-3987Primary",NA,NA
